# Development seed ranges. Replace or extend with a full offline database such as ip2region.
# cidr,country_code,region_name
1.0.1.0/24,CN,中国大陆
1.0.2.0/23,CN,中国大陆
1.0.8.0/21,CN,中国大陆
1.1.1.0/24,AU,澳大利亚
8.8.8.0/24,US,美国
20.205.0.0/16,SG,新加坡
31.13.0.0/16,US,美国
35.190.0.0/16,US,美国
101.32.0.0/16,SG,新加坡
103.21.244.0/22,US,美国
104.16.0.0/12,US,美国
114.114.114.0/24,CN,中国大陆
119.29.29.0/24,CN,中国大陆
142.250.0.0/15,US,美国
172.217.0.0/16,US,美国
203.107.0.0/16,CN,中国大陆
223.5.5.0/24,CN,中国大陆
223.6.6.0/24,CN,中国大陆
18.162.0.0/15,HK,香港
203.69.0.0/16,TW,台湾
202.175.0.0/16,MO,澳门
